series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
original,NeuralNet,s43_f4,43,4,0.9072450392247347,0.9168724279835391,0.9176276771004942,0.9172498970769865,0.9409166578791329,2167
original,NeuralNet,s44_f0,44,0,0.8976014760147601,0.9073010664479081,0.9102880658436214,0.9087921117502055,0.9381131277015617,2168
original,NeuralNet,s44_f1,44,1,0.9063221042916474,0.9035087719298246,0.9325102880658436,0.9177804779262859,0.9434407096171802,2167
original,NeuralNet,s44_f2,44,2,0.9012459621596678,0.8988047808764941,0.928395061728395,0.9133603238866397,0.9390241899228827,2167
original,NeuralNet,s44_f3,44,3,0.9040147669589293,0.8973954222573007,0.9358024691358025,0.9161966156325544,0.9443765777916104,2167
original,NeuralNet,s44_f4,44,4,0.8864790032302723,0.8884430176565008,0.9118616144975288,0.9,0.9317057380577419,2167
original,NeuralNet,s45_f0,45,0,0.897140221402214,0.8905511811023622,0.9308641975308642,0.9102615694164989,0.9381999231363811,2168
original,NeuralNet,s45_f1,45,1,0.9003230272265805,0.8893219017926735,0.9390946502057613,0.9135308246597278,0.9436555486392089,2167
original,NeuralNet,s45_f2,45,2,0.8947854176280572,0.9048400328137818,0.9078189300411522,0.9063270336894002,0.9385482588096968,2167
original,NeuralNet,s45_f3,45,3,0.9003230272265805,0.8917647058823529,0.9358024691358025,0.9132530120481928,0.9361768164055746,2167
original,NeuralNet,s45_f4,45,4,0.8966312874942317,0.896,0.9225700164744646,0.9090909090909091,0.937967503988964,2167
original,NeuralNet,s46_f0,46,0,0.8976014760147601,0.8943606036536934,0.9267489711934156,0.910266774454325,0.9342975831141856,2168
original,NeuralNet,s46_f1,46,1,0.9012459621596678,0.8962787015043547,0.9316872427983539,0.9136400322841001,0.9366544766054569,2167
original,NeuralNet,s46_f2,46,2,0.9072450392247347,0.9095315024232633,0.9267489711934156,0.9180595189563799,0.943490420859702,2167
original,NeuralNet,s46_f3,46,3,0.9100138440239963,0.9022082018927445,0.9415637860082304,0.9214659685863874,0.9505373136909084,2167
original,NeuralNet,s46_f4,46,4,0.8758652514997692,0.8729281767955801,0.9110378912685337,0.8915759774284563,0.9238639447785628,2167
original,NeuralNet,s47_f0,47,0,0.9017527675276753,0.9020866773675762,0.9251028806584363,0.9134498171475011,0.941000263409031,2168
original,NeuralNet,s47_f1,47,1,0.8929395477618828,0.880123743232792,0.9366255144032922,0.9074960127591707,0.9328197945845004,2167
original,NeuralNet,s47_f2,47,2,0.8943239501615136,0.8821705426356589,0.9366255144032922,0.9085828343313374,0.937975498841512,2167
original,NeuralNet,s47_f3,47,3,0.8961698200276881,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9386792371269496,2167
