series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
lemmatized,LinearSVM,0.9187817258883249,0.9024012393493416,0.9588477366255144,0.9297685554668795,0.9474176090189163,,,s46_f1,46.0,1.0,2167.0
lemmatized,LinearSVM,0.9261652053530226,0.9163378058405682,0.9555555555555556,0.935535858178888,0.9541714216550817,,,s46_f2,46.0,2.0,2167.0
lemmatized,LinearSVM,0.9326257498846331,0.9225296442687747,0.9604938271604938,0.9411290322580645,0.9604216377909188,,,s46_f3,46.0,3.0,2167.0
lemmatized,NeuralNet,0.9049815498154982,0.9159109645507008,0.91440329218107,0.9151565074135091,0.9482422844903898,,,s42_f0,42.0,0.0,2168.0
lemmatized,NeuralNet,0.8929395477618828,0.8885375494071146,0.9251028806584363,0.9064516129032258,0.9398744683058409,,,s42_f1,42.0,1.0,2167.0
lemmatized,NeuralNet,0.8952468850946008,0.9022801302931596,0.9119341563786009,0.9070814572247237,0.944068368087976,,,s42_f2,42.0,2.0,2167.0
lemmatized,NeuralNet,0.9063221042916474,0.8821752265861027,0.9613168724279836,0.9200472627018511,0.9454092748210396,,,s42_f3,42.0,3.0,2167.0
lemmatized,NeuralNet,0.904476234425473,0.9018355945730248,0.9308072487644151,0.9160924199432509,0.9462090580167373,,,s42_f4,42.0,4.0,2167.0
lemmatized,NeuralNet,0.9137453874538746,0.9118589743589743,0.9366255144032922,0.9240763296792529,0.9448922397972181,,,s43_f0,43.0,0.0,2168.0
lemmatized,NeuralNet,0.9090909090909091,0.9026898734177216,0.9390946502057613,0.9205324727712787,0.9516668395753363,,,s43_f1,43.0,1.0,2167.0
lemmatized,NeuralNet,0.904476234425473,0.8906976744186047,0.945679012345679,0.9173652694610779,0.9419208424110384,,,s43_f2,43.0,2.0,2167.0
lemmatized,NeuralNet,0.9007844946931242,0.9045307443365695,0.920164609053498,0.9122807017543859,0.9421006674274648,,,s43_f3,43.0,3.0,2167.0
lemmatized,NeuralNet,0.91047531149054,0.9173486088379705,0.9233937397034596,0.9203612479474549,0.9492126658034716,,,s43_f4,43.0,4.0,2167.0
lemmatized,NeuralNet,0.900830258302583,0.9078303425774877,0.9160493827160494,0.9119213437115936,0.9460996031591812,,,s44_f0,44.0,0.0,2168.0
lemmatized,NeuralNet,0.89386248269497,0.8826728826728827,0.9349794238683128,0.9080735411670664,0.9407796451914099,,,s44_f1,44.0,1.0,2167.0
lemmatized,NeuralNet,0.8841716658975542,0.8813291139240507,0.9168724279835391,0.8987494957644211,0.9294878445205244,,,s44_f2,44.0,2.0,2167.0
lemmatized,NeuralNet,0.9049377018920166,0.8988142292490119,0.9358024691358025,0.9169354838709678,0.9456924127675762,,,s44_f3,44.0,3.0,2167.0
